"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""Khamenei's New Hebrew X Account Is Quickly Suspended""","https://www.newser.com/story/358484/iran-supreme-leaders-new-hebrew-x-account-suspended.html","2024-10-28 02:00:00","","Newser","United States Of America","Science","English","The social platform X has suspended a new account on behalf of Iran's Supreme Leader Ayatollah Ali Khamenei that posted messages in Hebrew, the AP reports. The account was suspended early Monday with a brief note appended to it saying: ""X suspends accounts which violate the X Rules."" It wasn't...","https://img2-azrcdn.newser.com/image/1568773-11-20241028004604-iran-supreme-leaders-new-hebrew-x-account-suspended.jpeg",""
"""Elon Musk: I Was Never an Illegal Worker in US""","https://www.newser.com/story/358480/elon-musk-i-never-worked-illegally-in-us.html","2024-10-28 01:30:00","Evann Gastaldo","Newser","United States Of America","Science","English","Elon Musk says he's no illegal worker, as President Biden painted him over the weekend . Biden said Musk was in the US on a student visa in the 1990s, but instead of attending school, he worked. A Washington Post investigation found that Musk failed to enroll in any classes for...","https://img2-azrcdn.newser.com/image/1568789-11-20241028003637-elon-musk-never-worked-illegally-us.jpeg",""
"""McDonald's Quarter Pounder Is Back on the Menu""","https://www.newser.com/story/358486/mcdonalds-quarter-pounder-is-back-on-the-menu.html","2024-10-28 01:00:00","","Newser","United States Of America","Science","English","McDonald's announced Sunday that Quarter Pounders will again be on its menu at hundreds of its restaurants after testing ruled out beef patties as the source of the outbreak of E. coli poisoning tied to the popular burgers that killed one person and sickened at least 75 others across 13...","https://img2-azrcdn.newser.com/image/1568781-11-20241028002244-mcdonalds-quarter-pounder-back-menu.jpeg",""
"""Comedian at Trump Rally Makes Racist Jokes""","https://www.newser.com/story/358479/comedian-at-trump-rally-calls-puerto-rico-island-of-garbage.html","2024-10-28 00:30:00","Evann Gastaldo","Newser","United States Of America","Science","English","A comedian's speech at Donald Trump's Sunday night rally at New York City's Madison Square Garden was being widely described as racist by media outlets. As the Hill reports, Tony Hinchcliffe, whose stage name is Kill Tony, called Puerto Rico a ""floating island of garbage,"" then went on to make...","https://img1-azrcdn.newser.com/image/1568784-11-20241028000751-comedian-trump-rally-calls-puerto-rico-island-garbage.jpeg",""
"""More social species live longer, study finds""","https://phys.org/news/2024-10-social-species-longer.html","2024-10-28 00:00:01","","Phys.org","United States Of America","Science","English","New research from the University of Oxford has revealed that species that are more social live longer and produce offspring for a greater timespan. This is the first study on this topic which spans the animal kingdom, from jellyfish to humans.","https://scx1.b-cdn.net/csz/news/800a/2019/wildebeest.jpg",""
"""The complex considerations that magicians face when exposing the tricks of their trade""","https://phys.org/news/2024-10-complex-considerations-magicians-exposing.html","2024-10-27 23:00:01","","Phys.org","Australia","Science","English","Magic is one of the oldest forms of entertainment, and much of its enchantment is said to rely on the audience not knowing how the tricks are done. However, while magicians swear to keep their secrets forever when they embark on their profession, they are happy to share the tricks of their trade in certain circumstances, a new study shows.","https://scx1.b-cdn.net/csz/news/800a/2024/magicians-dont-mind-sh.jpg",""
"""Expanding abortion access strengthens democracy, while abortion bans signal broader repression—worldwide study""","https://phys.org/news/2024-10-abortion-access-democracy-broader-repression.html","2024-10-27 22:40:01","","Phys.org","United States Of America","Science","English","Abortion is on the agenda not just in the United States but worldwide.","https://scx1.b-cdn.net/csz/news/tmb/2022/abortion.jpg",""
"""Multiple Dangerous Asteroids Approaching Earth All At The Same Time - Giant Freakin Robot""","https://news.google.com/rss/articles/CBMikwFBVV95cUxQNHBPWHlGV1BTQXpGTjh0SHBQbVZrbng4LVluMUFiRTJ6YXo3cU1TejhSdVRLWThLS1Vqa0RXdHBua3lMSUZwSHZzV2hPZF8yeWc3Q093UVZtR1JSWU9IRDZMM19yQmRYRENNX3pBeFJwejZJZGZWeVpDb2JGQlJrVDV6czJnZ3VESlZzVjc0dnBULVE?oc=5","2024-10-27 21:19:13","","Google News","United States Of America","Science","English","Multiple Dangerous Asteroids Approaching Earth All At The Same Time Giant Freakin RobotBus-Sized Asteroid to Pass Between Earth and Moon Next Week Newsweek4 large asteroids, including a skyscraper-size 'city killer,' will zoom past Earth in a 12-hour span today (Oct. 24) Livescience.comFour large asteroids headed towards Earth – but it should be fine The Independent5 asteroids, including one as big as a skyscraper, speeding toward Earth this weekend The Indian Express","",""
"""Beneath the Ice: Titan’s Six-Mile-Deep Methane Crust Could Rewrite Planetary Science - SciTechDaily""","https://news.google.com/rss/articles/CBMirAFBVV95cUxPSUkyZ1ctdVhBdlQ4TnhYd1ZrUy15amI0RnJVbFFVM0tkTXhBdGU1NHAyTnJVa1RlSGkwSlA4M0ctR25uREM4bGVqYUhwZjlfcFJQeFl1N3NmOGZiWDhQeHI0azh5ZDJYQWpQUjlxMl9meXctSnFUYnE1MGRzallYdG5rV3dsRGtwVUxxQ3gwRmN5cUxNb1ZVVmFBVGZKMTJHTEtuQTNIRkFPcGFm?oc=5","2024-10-27 21:06:13","","Google News","United States Of America","Science","English","Beneath the Ice: Titan’s Six-Mile-Deep Methane Crust Could Rewrite Planetary Science SciTechDailyTitan's Atmosphere and Climate: Lessons from an Alien World LabRootsSaturn's moon Titan may have thick insulating methane ice crust up to six miles Space DailySaturn's moon Titan has insulating methane-rich crust up to six miles thick Phys.org","",""
"""Unusual birth: the ‘world’s most dangerous bird’ hatches in England, a rare event. - The Daily Galaxy --Great Discoveries Channel""","https://news.google.com/rss/articles/CBMirgFBVV95cUxNVnBmNVZRRkx0Qnd4blp2LVdQTjJOQU5ST1VmeWN2QWZMU0d5NmZIWlltU09kcEdPTHVvbFVfSXd4QjY5bnZ6dnlzNHRXVnpnZmxGaXVDVktOMWpCejhweTJKSDFrR0NBb3FlbFhicUN4bG9lRV9hVm5URHh2TldZM3RLMzZBSDhNUTNXdG5kb2JHQkFDdVJMOGYxNnNrbDZ5VG9uRkpETF9qSTlqcnc?oc=5","2024-10-27 20:11:00","","Google News","United States Of America","Science","English","Unusual birth: the ‘world’s most dangerous bird’ hatches in England, a rare event. The Daily Galaxy --Great Discoveries Channel","",""
