"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""Dricus Du Plessis calls out Khamzat Chimaev for future fight""","https://www.yardbarker.com/mma/articles/dricus_du_plessis_calls_out_khamzat_chimaev_for_future_fight/s1_13132_41134210","2024-10-28 02:04:00","Aaron Case, Yardbarker","Yardbarker","United States Of America","Sports","English","When Khamzat Chimaev broke Robert Whittaker’s jaw while submitting him in their middleweight bout on Saturday at UFC 308, he declared himself past due for a title fight. Current middleweight champion Dricus Du Plessis wholeheartedly agreed with the now 14-0 Chimaev.","https://www.yardbarker.com/media/2/3/232833ac306ad1c1d2fdae90d67556eb6d2b5677/thumb_16x9/dricus-du-plessis-calls-out-khamzat-chimaev.jpg?v=1",""
"""Jaguars WR Christian Kirk to miss remainder of season with broken collarbone: Source""","https://www.nytimes.com/athletic/5878228/2024/10/27/christian-kirk-jaguars-collarbone-injury/","2024-10-28 02:03:25","","Theathleticuk","United States Of America","Sports","English","The seventh-year receiver will finish his 2024 campaign with 25 receptions for 320 yards and a touchdown.","https://static01.nyt.com/athletic/uploads/wp/2024/10/27215145/GettyImages-2181393754-scaled.jpg",""
"""The Jets' fifth straight loss exposed weakness of entire team""","https://www.yardbarker.com/nfl/articles/the_jets_fifth_straight_loss_exposed_weakness_of_entire_team/s1_13132_41134211","2024-10-28 02:03:00","Mike J. Asti, Yardbarker","Yardbarker","United States Of America","Sports","English","As has become the norm this season, the New York Jets are leaving a week disappointed and confused.","https://www.yardbarker.com/media/b/4/b4e570ab7ba56e4c8845f6e2abfe2f3a9abdbe09/thumb_16x9/jets-fifth-straight-loss-exposed-weakness-entire.jpg?v=1",""
"""Ladd McConkey's 2 touchdowns propel Chargers to 26-8 victory over Saints""","https://www.mankatofreepress.com/ap/sports/ladd-mcconkeys-2-touchdowns-propel-chargers-to-26-8-victory-over-saints/article_f06957e0-88e4-54b2-ac6f-bd31a84c2bf1.html","2024-10-28 02:02:56","By JOE REEDY - AP Sports Writer","Mankato Free Press","United States Of America","Sports","English","Ladd McConkey had two touchdown catches, including a 60-yard score in the third quarter, and became the first Chargers rookie receiver in 11 years to have a 100-yard receiving game as Los Angeles defeated the New Orleans Saints 26-8. Justin...","https://bloximages.chicago2.vip.townnews.com/mankatofreepress.com/content/tncms/assets/v3/editorial/5/f0/5f0b3edc-e4e9-5f4e-93e2-f77b0a3f9d46/671ed14e9485f.image.jpg?resize=300%2C200",""
"""Ladd McConkey's 2 touchdowns propel Chargers to 26-8 victory over Saints""","https://www.dailyitem.com/ap/sports/ladd-mcconkeys-2-touchdowns-propel-chargers-to-26-8-victory-over-saints/article_7ea8ed15-c598-5b68-aa20-42331d7dc13d.html","2024-10-28 02:02:56","By JOE REEDY - AP Sports Writer","Daily Item","United States Of America","Sports","English","INGLEWOOD, Calif. (AP) — Ladd McConkey was a downfield threat while helping lead the University of Georgia to a pair of College Football Playoff championships.","https://bloximages.chicago2.vip.townnews.com/dailyitem.com/content/tncms/assets/v3/editorial/2/4a/24a9f87f-130c-52e3-8a1a-afa44c67f3be/671ed2a6d76f7.image.jpg?resize=300%2C200",""
"""Ladd McConkey's 2 touchdowns propel Chargers to 26-8 victory over Saints""","https://www.idahostatejournal.com/sports/national/ladd-mcconkeys-2-touchdowns-propel-chargers-to-26-8-victory-over-saints/article_4d9f21b1-1433-5f47-ba37-276a7058fd1c.html","2024-10-28 02:02:56","","Idahostatejournal","United States Of America","Sports","English","INGLEWOOD, Calif. (AP) — Ladd McConkey was a downfield threat while helping lead the University of Georgia to a pair of College Football Playoff championships.","https://bloximages.chicago2.vip.townnews.com/idahostatejournal.com/content/tncms/assets/v3/editorial/6/a6/6a67e8e9-91bd-58bf-a056-ee6822023d9c/671f5866e63fd.image.jpg?resize=300%2C200",""
"""Ladd McConkey's 2 touchdowns propel Chargers to 26-8 victory over Saints""","https://www.register-herald.com/sports/national_sports/ladd-mcconkeys-2-touchdowns-propel-chargers-to-26-8-victory-over-saints/article_542cde13-63dd-5947-bf86-f4f156f01a67.html","2024-10-28 02:02:56","By JOE REEDY - AP Sports Writer","Register-herald","United States Of America","Sports","English","Ladd McConkey had two touchdown catches, including a 60-yard score in the third quarter, and became the first Chargers rookie receiver in 11 years to have a 100-yard receiving game as Los Angeles defeated the New Orleans Saints 26-8. Justin...","https://bloximages.chicago2.vip.townnews.com/register-herald.com/content/tncms/assets/v3/editorial/2/83/283443dd-f810-525a-8a66-74ac292273ff/671eced8c8650.image.jpg?resize=300%2C200",""
"""Ladd McConkey's 2 touchdowns propel Chargers to 26-8 victory over Saints""","https://www.meridianstar.com/sports/national_sports/ladd-mcconkeys-2-touchdowns-propel-chargers-to-26-8-victory-over-saints/article_b6217d8f-f026-5d6d-8b5d-221164332ce7.html","2024-10-28 02:02:56","","Meridianstar","United States Of America","Sports","English","Ladd McConkey had two touchdown catches, including a 60-yard score in the third quarter, and became the first Chargers rookie receiver in 11 years to have a 100-yard receiving game as Los Angeles defeated the New Orleans Saints 26-8. Justin...","",""
"""Oregon still No.1, Miami climbs to No.5""","https://www.irontontribune.com/2024/10/27/oregon-still-no-1-miami-climbs-to-no-5/","2024-10-28 02:02:14","The Associated Press","Ironton Tribune","United States Of America","Sports","English","Miami edged ahead of Texas and climbed to No. 5 in The Associated Press Top 25 college football poll on Sunday, its highest ranking since 2017, and Notre Dame, BYU and Texas A&M all moved into the top 10.The post Oregon still No.1, Miami climbs to No.5 appeared first on The Tribune.","",""
"""Canadiens score three in second period, hold off Flyers""","https://deadspin.com/canadiens-score-three-in-second-period-hold-off-flyers/","2024-10-28 02:02:14","","Deadspin","United States Of America","Sports","English","Nick Suzuki and Brendan Gallagher each notched a goal and an assist to help the visiting Montreal Canadiens hold on for a 4-3 victory over the Philade","https://lineup-publishing.s3.amazonaws.com/24604414.jpg",""
