"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""Key mediator Egypt proposes a 2-day Gaza cease-fire and the release of 4 hostages""","https://www.fredericknewspost.com/public/ap/key-mediator-egypt-proposes-a-2-day-gaza-cease-fire-and-the-release-of-4/article_ef1044de-d678-52b5-a904-d9b9b2df432f.html","2024-10-28 02:00:00","By AMI BENTOV, TIA GOLDENBERG, SAMY MAGDY and JOSEPH KRAUSS Associated Press","The Frederick News-post","United States Of America","Politics","English","RAMAT HASHARON, Israel — Egypt’s president announced Sunday his country has proposed a two-day cease-fire between Israel and Hamas during which four hostages held in Gaza would be freed. There was no immediate response from Israel or Hamas as the...","https://bloximages.newyork1.vip.townnews.com/fredericknewspost.com/content/tncms/assets/v3/editorial/0/1a/01a82a85-90c9-5dc3-8d45-ef2e0ce1e7cb/671ef114ebfba.image.jpg?resize=300%2C200",""
"""Latin superstar Bad Bunny backs Harris for president after comedian's racist jokes at Trump event""","https://www.oskaloosa.com/news/politics/latin-superstar-bad-bunny-backs-harris-for-president-after-comedians-racist-jokes-at-trump-event/article_69b0d085-6b81-5abb-8dd2-750b428b3267.html","2024-10-28 01:53:17","By ADRIANA GOMEZ LICON - Associated Press","Oskaloosa","United States Of America","Politics","English","Bad Bunny threw his support behind Vice President Kamala Harris Sunday by sharing a video of the Democratic presidential nominee shortly after a comedian at Donald Trump’s Madison Square Garden rally made crude jokes about Latinos and called Puerto Rico...","",""
"""San Francisco's Great Highway transformed into Halloween party, highlighting Measure K debate""","https://www.cbsnews.com/sanfrancisco/news/san-franciscos-great-highway-halloween-party-measure-k-debate/","2024-10-28 01:51:01","John Ramos","Sanfrancisco Cbs Local","United States Of America","Politics","English","On Sunday afternoon, San Francisco's Great Highway was transformed into a massive Halloween party for kids, highlighting the debate surrounding Measure K.","https://assets2.cbsnewsstatic.com/hub/i/r/2024/10/28/26c7fcc8-76f4-40c5-a90f-30f145d17472/thumbnail/1024x576/b0511f53fbcf806db6e1882b38da077d/snapshot-19.jpg?v=17b612a59ff4c1e4774d3d0d3ec005e8",""
"""Louisiana Landmarks Fete""","https://www.theadvocate.com/louisiana-landmarks-fete/image_ca572bb1-f3b6-5b97-8d0f-9f7bc4fd898a.html","2024-10-28 01:50:51","","The Advocate","United States Of America","Politics","English","Louisiana Landmarks FeteNew Orleans, Sunday, Oct. 27, 2024. (Photo by Jeff Strout) Mark and Morgan Stalder","http://bloximages.newyork1.vip.townnews.com/theadvocate.com/content/tncms/assets/v3/editorial/c/a5/ca572bb1-f3b6-5b97-8d0f-9f7bc4fd898a/671eedfb8f43f.image.jpg?resize=300%2C200",""
"""NO.lsufallbaseball.102824_9865 MJ.JPG""","https://www.theadvocate.com/no-lsufallbaseball-102824-9865-mj-jpg/image_95c0c4a4-6feb-5fc2-b825-f1d24e4a46f2.html","2024-10-28 01:46:07","","The Advocate","United States Of America","Politics","English","LSU head coach Jay Johnson walks across the field during a fall baseball scrimmage on Sunday, October 27, 2024 at Alex Box Stadium in Baton Rouge, Louisiana.","http://bloximages.newyork1.vip.townnews.com/theadvocate.com/content/tncms/assets/v3/editorial/9/5c/95c0c4a4-6feb-5fc2-b825-f1d24e4a46f2/671eecdf1ea28.image.jpg?resize=300%2C232",""
"""NO.lsufallbaseball.102824_9685 MJ.JPG""","https://www.theadvocate.com/no-lsufallbaseball-102824-9685-mj-jpg/image_41cb4bc7-e8b7-50f3-970c-f88691b5e734.html","2024-10-28 01:45:59","","The Advocate","United States Of America","Politics","English","LSU first baseman Ryan Costello (38) drives the ball during a fall baseball scrimmage on Sunday, October 27, 2024 at Alex Box Stadium in Baton Rouge, Louisiana.","http://bloximages.newyork1.vip.townnews.com/theadvocate.com/content/tncms/assets/v3/editorial/4/1c/41cb4bc7-e8b7-50f3-970c-f88691b5e734/671eecd7ac6e3.image.jpg?resize=300%2C241",""
"""NO.lsufallbaseball.102824_9357 MJ.JPG""","https://www.theadvocate.com/no-lsufallbaseball-102824-9357-mj-jpg/image_9677341e-a4ae-570f-b48d-8da3d7ac2fc5.html","2024-10-28 01:45:42","","The Advocate","United States Of America","Politics","English","LSU pitcher Chase Shores (34) delivers a pitch during a fall baseball scrimmage on Sunday, October 27, 2024 at Alex Box Stadium in Baton Rouge, Louisiana.","http://bloximages.newyork1.vip.townnews.com/theadvocate.com/content/tncms/assets/v3/editorial/9/67/9677341e-a4ae-570f-b48d-8da3d7ac2fc5/671eecc6368b7.image.jpg?resize=300%2C241",""
"""NO.lsufallbaseball.102824_9340 MJ.JPG""","https://www.theadvocate.com/no-lsufallbaseball-102824-9340-mj-jpg/image_11e5c916-3111-511c-ab04-e471f2a991e9.html","2024-10-28 01:45:40","","The Advocate","United States Of America","Politics","English","LSU pitcher Chase Shores (34) delivers a pitch during a fall baseball scrimmage on Sunday, October 27, 2024 at Alex Box Stadium in Baton Rouge, Louisiana.","http://bloximages.newyork1.vip.townnews.com/theadvocate.com/content/tncms/assets/v3/editorial/1/1e/11e5c916-3111-511c-ab04-e471f2a991e9/671eecc4913a0.image.jpg?resize=300%2C238",""
"""NO.lsufallbaseball.102824_859 MJ.JPG""","https://www.theadvocate.com/no-lsufallbaseball-102824-859-mj-jpg/image_81ab3be6-aee7-5e20-a954-4fd6893c77fd.html","2024-10-28 01:45:34","","The Advocate","United States Of America","Politics","English","LSU pitcher Jacob Mayers (35) delivers a pitch during a fall baseball scrimmage on Sunday, October 27, 2024 at Alex Box Stadium in Baton Rouge, Louisiana.","http://bloximages.newyork1.vip.townnews.com/theadvocate.com/content/tncms/assets/v3/editorial/8/1a/81ab3be6-aee7-5e20-a954-4fd6893c77fd/671eecbedf0fb.image.jpg?resize=300%2C242",""
"""NO.lsufallbaseball.102824_602 MJ.JPG""","https://www.theadvocate.com/no-lsufallbaseball-102824-602-mj-jpg/image_373a74a1-8237-5d7d-9bcc-3ad7f566d3df.html","2024-10-28 01:45:29","","The Advocate","United States Of America","Politics","English","LSU outfielder Ashton Larson (44) looks to drive the ball during a fall baseball scrimmage on Sunday, October 27, 2024 at Alex Box Stadium in Baton Rouge, Louisiana.","http://bloximages.newyork1.vip.townnews.com/theadvocate.com/content/tncms/assets/v3/editorial/3/73/373a74a1-8237-5d7d-9bcc-3ad7f566d3df/671eecb9b4301.image.jpg?resize=300%2C262",""
